age,gender,field,lfs,contract,js,educ,peduc,wage,hours,empstat_edt,couple,child,lit,num,ps
45,Female,General programmes,Employed,An indefinite contract,Satisfied,12,Neither parent has attained upper secondary,793.2692308,48,1,NA,NA,0.042924818,-0.099276073,NA
48,Male,"Social sciences, business and law",Employed,An indefinite contract,Satisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",1762.820513,60,1,1,1,-0.389631182,0.444499731,0.386289895
47,Male,"Social sciences, business and law",Employed,An indefinite contract,Dissatisfied,16,At least one parent has attained tertiary,2692.307692,50,1,1,1,0.086166926,0.887064517,0.399895877
58,Male,"Engineering, manufacturing and construction",Employed,A fixed term contract,Satisfied,16,Neither parent has attained upper secondary,2312.138728,60,1,1,2,0.167705894,0.591553211,0.296232283
29,Female,General programmes,Out of the labour force,NA,NA,14,At least one parent has attained tertiary,NA,0,3,1,2,0.903869092,0.937291324,0.62300247
35,Female,Health and welfare,Employed,An indefinite contract,Dissatisfied,14,Neither parent has attained upper secondary,5192.307692,40,1,0,NA,1.621601105,1.780269623,NA
60,Male,"Social sciences, business and law",Employed,NA,Satisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,60,1,1,3,0.010391013,0.60045886,NA
48,Female,NA,Unemployed,NA,NA,9,At least one parent has attained tertiary,NA,0,2,0,2,0.653448164,0.006204823,0.813338935
56,Male,NA,Employed,An indefinite contract,Dissatisfied,9,"At least one parent has attained secondary and post-secondary, non-tertiary",1923.076923,60,1,1,2,-1.994584799,-1.535017014,NA
24,Male,General programmes,Employed,An indefinite contract,Satisfied,14,At least one parent has attained tertiary,1202.312139,25,2,0,NA,0.492330045,-1.190674543,0.426153302
60,Female,Health and welfare,Out of the labour force,NA,NA,12,At least one parent has attained tertiary,NA,0,3,1,2,0.021912914,0.053968269,NA
32,Female,General programmes,Employed,An indefinite contract,Satisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",900,30,2,0,2,-0.390330821,-0.05873365,0.003434414
51,Female,Services,Out of the labour force,NA,NA,14,Neither parent has attained upper secondary,NA,0,3,1,2,-0.516604185,-0.064641967,-1.100643873
64,Female,NA,Employed,NA,Satisfied,9,NA,NA,48,1,1,1,-1.713124394,-0.7118209,NA
45,Male,"Humanities, languages and arts",Employed,An indefinite contract,Neither satisfied nor dissatisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",2927.523344,50,1,NA,NA,0.927036107,0.762192249,0.964173794
20,Male,Agriculture and veterinary,Out of the labour force,NA,NA,12,At least one parent has attained tertiary,NA,0,3,0,NA,0.089618221,-0.338761389,-0.053501986
61,Male,NA,Employed,NA,Extremely satisfied,9,NA,NA,60,1,1,2,-1.567685008,-1.091750383,-2.842557192
30,Male,"Social sciences, business and law",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,1502.667852,50,1,0,NA,0.765681744,0.932385862,0.907361209
46,Male,"Humanities, languages and arts",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,2451.108214,59,1,1,2,1.669341087,0.892997861,0.326338828
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Female,"Humanities, languages and arts",Employed,NA,Neither satisfied nor dissatisfied,16,At least one parent has attained tertiary,NA,6,1,1,3,0.928076744,1.055700779,NA
30,Female,General programmes,Employed,A temporary employment agency contract,Satisfied,14,At least one parent has attained tertiary,1530,40,1,1,NA,0.725168645,0.619742692,1.318086386
16,Female,NA,Out of the labour force,NA,NA,9,At least one parent has attained tertiary,NA,0,3,0,NA,0.712095797,0.351860344,0.846116543
47,Female,General programmes,Out of the labour force,NA,NA,12,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,0,3,1,2,0.182437763,-0.706027746,NA
17,Female,NA,Out of the labour force,NA,NA,9,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,0,3,0,NA,-1.475674033,-1.856968403,-2.218163967
63,Female,Teacher training and education science,Employed,A fixed term contract,Neither satisfied nor dissatisfied,14,"At least one parent has attained secondary and post-secondary, non-tertiary",865,16,2,1,2,-0.7444489,-0.701859355,NA
27,Male,General programmes,Employed,An indefinite contract,Satisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",1709.401709,45,1,0,NA,0.728200138,0.980816662,NA
31,Female,General programmes,Out of the labour force,NA,NA,14,At least one parent has attained tertiary,NA,0,3,0,1,-0.210360095,-0.958003104,-0.25088957
64,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Satisfied,14,Neither parent has attained upper secondary,1849.710983,50,1,1,2,-0.470395088,0.83243382,-0.54599297
17,Female,NA,Out of the labour force,NA,NA,9,At least one parent has attained tertiary,NA,0,3,0,NA,0.857851923,0.653242886,NA
29,Female,"Humanities, languages and arts",Employed,A fixed term contract,Satisfied,16,At least one parent has attained tertiary,1200,24,2,0,NA,0.139374122,-0.388888925,0.244486958
21,Female,Teacher training and education science,Out of the labour force,NA,NA,14,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,0,3,0,NA,-0.451908588,-1.547325969,-2.806517363
54,Female,General programmes,Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",1798.330122,54,1,1,2,-0.165329918,0.145054832,-0.865292192
26,Female,Health and welfare,Out of the labour force,NA,NA,16,At least one parent has attained tertiary,NA,0,3,1,NA,0.161420837,-0.015558238,1.286894679
64,Female,General programmes,Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,Neither parent has attained upper secondary,513.8086063,36,1,1,2,-1.243747473,-0.791669548,NA
16,Female,NA,Out of the labour force,NA,NA,9,At least one parent has attained tertiary,NA,0,3,0,NA,-0.119444244,-0.30354479,-0.160184011
33,Female,General programmes,Employed,A fixed term contract,Neither satisfied nor dissatisfied,12,NA,837.8723877,40,1,0,NA,-0.377965152,-1.093836069,NA
46,Male,NA,Employed,An indefinite contract,Satisfied,9,"At least one parent has attained secondary and post-secondary, non-tertiary",1625.135428,71,1,1,2,-1.6122334,-0.56306535,-1.53480792
50,Female,General programmes,Employed,An indefinite contract,Satisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",893,14,2,0,3,-0.907664239,-1.221176982,-1.628800273
36,Male,Health and welfare,Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,2569.043031,45,1,1,2,0.562149346,1.226270914,0.88099736
17,Male,NA,Out of the labour force,NA,NA,9,At least one parent has attained tertiary,NA,0,3,0,NA,-0.273885965,0.60063082,1.020456195
40,Female,Teacher training and education science,Employed,An indefinite contract,Satisfied,12,NA,832.3699422,50,1,NA,NA,1.205623746,0.649106264,0.398017019
36,Male,"Social sciences, business and law",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,2416.629613,55,1,1,2,1.545816064,1.591344357,1.743804097
46,Male,"Science, mathematics and computing",Employed,A fixed term contract,Satisfied,16,At least one parent has attained tertiary,2932.692308,40,1,1,2,0.892050624,1.930155277,-0.386769682
42,Male,Teacher training and education science,Employed,NA,Satisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,50,1,1,2,-0.939941645,-0.254396677,-0.201304033
29,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,1461.538462,50,1,1,2,1.105955243,1.716596127,2.361589909
57,Male,NA,Employed,An indefinite contract,Satisfied,9,Neither parent has attained upper secondary,429.3971924,70,1,0,NA,-1.707746744,-1.736102819,NA
64,Male,"Social sciences, business and law",Employed,An indefinite contract,Extremely satisfied,12,Neither parent has attained upper secondary,840.7777194,55,2,0,2,-1.608451128,-0.666762412,NA
23,Female,"Humanities, languages and arts",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,1201.923077,40,2,0,NA,1.657312274,1.086742997,NA
62,Female,NA,Out of the labour force,NA,NA,9,NA,NA,0,3,0,1,-1.867201209,-1.89631629,NA
47,Female,"Humanities, languages and arts",Employed,An indefinite contract,Satisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",800,30,2,1,2,1.201720834,0.411255598,-0.18776904
52,Male,General programmes,Employed,An indefinite contract,Satisfied,12,Neither parent has attained upper secondary,2312.138728,50,1,1,2,-1.745366573,-1.268685579,NA
44,Male,General programmes,Employed,NA,Neither satisfied nor dissatisfied,12,NA,NA,48,1,1,3,-1.145186663,-0.817588866,-0.899492562
46,Male,General programmes,Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",2115.384615,50,1,NA,NA,0.967052281,0.594346046,0.413497329
55,Male,General programmes,Employed,NA,NA,12,Neither parent has attained upper secondary,NA,NA,3,1,2,-2.239840508,-2.475276947,-1.938776851
35,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Neither satisfied nor dissatisfied,10,"At least one parent has attained secondary and post-secondary, non-tertiary",1923.076923,40,1,1,NA,0.27710402,0.219140589,0.386539847
33,Female,"Humanities, languages and arts",Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,1258.337039,60,1,0,NA,0.340860337,-0.148157552,0.829445302
49,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Satisfied,12,Neither parent has attained upper secondary,2642.444261,35,1,1,2,-0.969497561,-0.520972371,-0.46541658
34,Female,"Social sciences, business and law",Employed,An indefinite contract,Satisfied,13,"At least one parent has attained secondary and post-secondary, non-tertiary",800,20,2,1,1,-1.500711203,-1.746420026,-1.295736194
37,Male,General programmes,Employed,NA,Satisfied,12,Neither parent has attained upper secondary,NA,48,1,1,1,0.806533337,0.493156999,NA
63,Female,Teacher training and education science,Employed,An indefinite contract,Neither satisfied nor dissatisfied,16,Neither parent has attained upper secondary,780,20,2,0,3,0.183588192,-0.016619463,NA
48,Male,General programmes,Employed,An indefinite contract,Extremely satisfied,16,At least one parent has attained tertiary,2774.566474,50,1,1,2,0.086368859,0.039687563,-0.349630177
42,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Satisfied,16,Neither parent has attained upper secondary,2031.771697,55,1,1,2,0.859391928,1.982393146,1.469440818
46,Male,Teacher training and education science,Employed,An indefinite contract,Satisfied,16,At least one parent has attained tertiary,3461.538462,40,1,1,2,1.444498539,1.805270195,1.89597261
62,Male,"Engineering, manufacturing and construction",Employed,NA,Satisfied,12,Neither parent has attained upper secondary,NA,42,1,0,2,-2.246412516,-1.449042559,NA
62,Male,NA,Employed,An indefinite contract,Neither satisfied nor dissatisfied,9,Neither parent has attained upper secondary,1220.29544,72,1,1,3,-1.358111024,-1.183609962,NA
18,Male,NA,Not known,NA,NA,9,At least one parent has attained tertiary,NA,NA,3,0,NA,1.20524919,0.553548336,NA
36,Male,"Social sciences, business and law",Employed,An indefinite contract,Neither satisfied nor dissatisfied,16,"At least one parent has attained secondary and post-secondary, non-tertiary",2307.692308,40,1,1,NA,0.730025053,1.550059557,0.311683148
22,Female,General programmes,Employed,A fixed term contract,Satisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",811.9230769,50,2,0,NA,-1.999735355,-1.784267306,-2.135607958
59,Female,General programmes,Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",809.2485549,20,1,1,2,-0.034515996,0.268314451,-0.533722162
47,Male,General programmes,Employed,NA,Satisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",NA,40,1,NA,2,0.641740203,0.819533229,NA
38,Female,Health and welfare,Employed,An indefinite contract,Neither satisfied nor dissatisfied,14,"At least one parent has attained secondary and post-secondary, non-tertiary",973.0769231,25,2,1,2,0.157005966,-0.254746646,-0.010287112
56,Male,"Social sciences, business and law",Employed,NA,Satisfied,16,Neither parent has attained upper secondary,NA,60,1,1,3,1.986976385,2.193861008,1.414907455
35,Male,"Engineering, manufacturing and construction",Employed,An indefinite contract,Neither satisfied nor dissatisfied,12,"At least one parent has attained secondary and post-secondary, non-tertiary",10179.52423,60,1,0,NA,1.237188935,0.566913247,NA
46,Female,Health and welfare,Employed,An indefinite contract,Neither satisfied nor dissatisfied,13,Neither parent has attained upper secondary,1666.272189,13,2,1,2,0.723657072,0.361692399,NA
16,Male,NA,Out of the labour force,NA,NA,9,At least one parent has attained tertiary,NA,0,3,1,NA,0.163019538,0.160185426,0.397002041
54,Female,Health and welfare,Employed,An indefinite contract,Satisfied,14,"At least one parent has attained secondary and post-secondary, non-tertiary",2311.644682,45,1,1,3,0.11332982,-0.821443677,-0.798959136
