kreiskey1871,county1871,rbkey,lat_rad,lon_rad,kmwittenberg,zupreussen,hhsize,gpop,f_prot,f_jew,f_rw,f_miss,f_young,f_fem,f_ortsgeb,f_pruss,f_blind,f_deaf,f_dumb,f_urban,lnpop,lnkmb,poland,latlon,f_over3km,f_mine,inctaxpc,perc_secB,perc_secC,perc_secBnC,lnyteacher,rhs,yteacher,pop,kmb,uni1517,reichsstadt,hansestadt,f_cath,sh_al_in_tot,ncloisters1517_pkm2,school1517,dnpop1500
1,Memel,1,97.23999786,36.88999939,703.2800293,1525,4.694069386,-0.797759175,92.92683411,2.012223482,68.60692596,2.485757589,23.14771843,53.16130066,45.99163437,98.56678009,0.13939026,0.144751415,0.142964378,33.9683342,10.93235683,6.423117161,0,35.87183762,15.28384304,2.470043421,197.7023163,18.83040428,12.37962246,31.21002579,677.7244873,0,877.6473389,55958.00781,615.9200439,0,0,0,4.253190041,0.497005999,0,0,0
2,Fischhausen,1,95.54000092,34.93000031,585.7399902,1525,5.26172924,-0.033956576,98.28036499,0.341804147,80.40287781,1.738619208,24.17043495,50.78232956,38.26083374,99.90446472,0.080674268,0.137995452,0.154979512,11.43451595,10.76009178,6.216207027,0,33.37212372,7.147027969,2.330195665,134.3501282,17.317276,5.989295006,23.30657005,661.9976196,0,749.9272461,47102.99219,500.8001099,0,0,0,0.764282525,0.5,0.001884357,0,0
3,Stadt Konigsberg,1,95.48000336,35.79000092,611.4199829,1525,4.645337582,5.452698231,92.72205353,3.422188759,90.05104065,0.309702545,18.47946358,52.53095627,47.12914658,99.17388916,0.148092642,0.142739892,0.107947037,100,11.6270752,6.268110752,0,34.1722908,0.039837994,0.043180298,NA,29.99637794,16.67316628,46.66954422,712.8889771,1,1247.491211,112091.9922,527.4799194,0,0,1,3.365984917,1,0.146914795,1,0.004407444
4,Landkreis Konigsberg,1,95.48000336,35.79000092,611.4199829,1525,5.365902424,-1.170345783,99.3508606,0.149321839,75.26016235,2.56568265,25.95711136,51.66328049,33.56837463,99.92533875,0.080882661,0.161765322,0.221908838,0,10.78348732,6.268110752,0,34.1722908,3.039965868,0.101090938,128.8816986,14.18221569,3.710879803,17.89309692,666.633606,1,785.5122681,48217.98438,527.4799194,0,0,1,0.371230662,0.450847447,0,0,0
5,Labiau,1,95.75,36.84999847,653.8900146,1525,4.982987404,0.406206012,99.14350891,0.477581292,68.22769928,1.274154663,25.34535789,52.43329239,47.21147537,99.97237396,0.183533311,0.260498881,0.226949781,8.562914848,10.83312893,6.345706463,0,35.2838707,4.296917915,0,93.71274567,12.36777115,3.667459011,16.03523064,662.2576904,0,751.880127,50672.00781,570.039978,0,0,0,0.215108931,0.448818892,0.000940336,0,0
6,Wehlau,1,95.38999939,36.79000092,641.9299927,1525,4.949721813,-2.367549419,99.03209686,0.362183094,76.71490479,2.435153723,23.92490005,51.97743607,37.53799057,99.93547058,0.120727696,0.181091547,0.849256933,21.51867104,10.77983093,6.326525211,0,35.0939827,5.548021317,0.04579803,119.4138031,17.09640503,4.396611214,21.49301529,663.9910889,0,765.0267944,48042,559.210083,0,0,0,0.484992296,0.511627913,0,0,0
7,Gerdauen,1,94.88000488,37.20999908,643.1400146,1525,4.988907814,0.314877987,99.50301361,0.285116404,79.18462372,2.451170683,25.94036102,52.08736801,42.28092957,99.87444305,0.112477109,0.151713312,0.204028264,14.9699192,10.55137539,6.332764626,0,35.30484772,4.730521202,0.012790995,107.9715347,13.3665905,2.54540801,15.9119978,666.6229858,0,785.428833,38229.98438,562.710144,0,0,0,0.201412499,0.509316742,0.001180693,0,0
8,Rastenburg,1,94.37999725,37.29999924,635.0999756,1525,5.025067806,0.167350218,95.53379822,0.4141469,78.08462524,1.442037582,24.61114883,53.04374695,42.12062073,99.90587616,0.129420906,0.14589265,0.192954794,22.14744568,10.65718842,6.322313786,0,35.20373917,3.769077539,0.08836218,133.7160645,16.87717628,3.612453938,20.48962975,670.149231,0,813.6190796,42496.98438,556.8599854,0,0,0,3.964985847,0.403614461,0.001143053,0,0
9,Friedland,1,95.02999878,36.66999817,628.3200073,1525,5.063004494,-0.700376987,98.32656097,0.429030329,81.48747253,4.580786705,24.28850555,51.39827728,40.67027664,99.95282745,0.119050287,0.195422187,0.116804056,32.77926254,10.70367146,6.304119587,0,34.84749985,8.300944328,0.096139982,129.8600006,16.88698769,3.451425314,20.33841324,668.7272339,0,802.1313477,44519.00391,546.8199463,0,0,0,0.739010334,0.469273746,0.002269735,0,0
10,Preussisch Eylau,1,94.93000031,36.04000092,604.5200195,1525,5.069620132,-1.082793474,97.55378723,0.26416254,79.11824036,2.297812223,25.90421486,52.35484695,44.98724365,99.93848419,0.083229296,0.12484394,0.22073856,15.36666107,10.91996765,6.259237289,0,34.21277237,1.984717727,0.045660205,127.4062195,13.14598751,2.61508441,15.76107311,669.3280029,0,806.9647827,55269.01172,522.8200073,0,0,0,1.16159153,0.469635636,0.000811715,0,0
